,PMODE,TOTTR_R,INCOM_R,HHVEH_R,DNYC,HHSIZE,TRPDUR,TRPDIST_HN
285,19,1,4,3,0,2,5,4.12
286,19,1,9,3,0,3,18,14.23
287,19,1,9,3,0,3,35,37.6
288,19,1,9,3,0,3,35,14.06
289,19,1,9,3,0,3,30,12.07
290,19,1,9,3,0,3,30,12.05
291,19,1,2,2,1,5,55,39.99
292,6,1,2,0,1,1,85,19.35
293,19,1,3,2,1,3,30,12.14
294,19,2,3,2,0,3,5,1.21
295,19,1,3,2,0,3,5,1.21
296,6,1,4,3,1,2,75,31.39
297,19,1,4,3,0,2,7,1.82
298,19,2,4,2,0,4,31,17.31
299,19,2,4,2,0,4,36,17.85
300,19,1,4,2,0,4,10,3.09
301,19,1,4,2,0,4,10,3.09
302,23,1,3,3,0,3,7,0.4
303,23,1,3,3,0,3,5,0.4
304,19,1,4,2,0,2,60,30.58
305,19,1,4,2,0,2,60,31.05
306,19,1,4,2,1,2,40,25.67
307,19,1,2,2,1,2,10,0.26
308,19,1,4,2,0,3,4,3.19
309,19,1,4,2,0,3,5,2.82
310,19,1,4,2,0,3,5,3.19
311,19,1,4,2,0,3,5,2.82
312,19,1,4,2,0,3,15,11.43
313,19,1,4,2,0,3,18,13.31
314,19,1,4,2,0,2,38,20.75
315,19,1,4,2,0,2,7,1.72
316,19,1,4,2,0,2,45,21.54
317,19,1,4,2,0,2,18,15.95
318,19,1,4,2,0,2,18,15.58
319,19,1,2,1,0,1,5,0.43
320,19,1,2,1,0,1,6,0.43
321,19,1,2,3,0,3,43,36.18
322,19,1,2,3,0,3,5,1.22
323,19,1,2,3,0,3,15,1.22
324,19,1,2,3,0,3,125,35.54
325,19,1,4,3,0,4,75,53.08
326,19,1,4,3,0,4,75,53.02
327,19,1,4,3,0,4,15,1.35
328,19,1,4,3,0,4,14,1.35
329,19,1,4,2,0,4,6,2.17
330,19,1,4,2,0,4,27,19.99
331,19,1,4,2,0,4,16,2.85
332,19,1,4,2,0,4,2,0.86
333,19,1,4,2,0,4,45,26.95
334,19,1,4,2,0,4,17,0.75
335,19,1,4,2,0,4,5,2.01
336,19,1,4,2,0,2,3,8.41
337,19,1,4,2,0,2,4,1.33
338,19,1,4,2,0,2,12,8.41
339,19,1,4,2,0,2,2,1.61
340,19,1,4,2,0,2,12,8.41
341,19,1,4,2,0,2,17,1.33
342,19,1,4,2,0,2,16,8.41
343,19,1,4,2,0,2,30,21.79
344,19,1,4,2,0,2,24,22.19
345,19,1,4,2,0,2,28,21.79
346,19,1,4,2,0,2,26,12.18
347,19,1,4,2,0,2,19,8.41
348,19,1,2,1,0,2,15,1.61
349,19,1,2,1,0,2,15,1.47
350,19,1,2,2,0,2,30,14.42
351,19,1,2,2,0,2,30,11.98
