,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,DTPURP,DTPURP2,LTMODE_AGG,TOTTR,TRPDUR,TRPDIST_HN,OZIP,DNYC,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
79754,79754,35270240104,3527024,1,4,1,1,0,22,0,8.1,1,10,1.56,11704,0,2,1,23,13,,5,3,97,2,1,1,1,2,1.0,2.0,1,0
79755,79755,35270240105,3527024,1,5,0,1,0,20,0,8.1,1,15,1.56,11702,0,2,1,23,13,,5,3,97,2,2,2,1,2,2.0,3.0,1,0
79756,79756,35270240106,3527024,1,6,0,1,0,9,17,8.1,1,10,0.57,11704,0,2,1,23,13,,5,3,97,1,2,2,1,2,1.0,1.0,1,0
79757,79757,35270240107,3527024,1,7,0,1,1,3,0,8.1,1,25,0.57,11704,0,2,1,23,13,,5,3,97,1,2,2,1,3,1.0,2.0,1,0
79763,79763,35270320102,3527032,1,2,1,5,0,9,0,1.0,1,30,17.45,11788,0,2,1,19,11,,1,1,1,1,1,1,1,3,5.0,6.0,4,3
79764,79764,35270320103,3527032,1,3,0,5,1,3,0,1.0,1,60,18.4,11803,0,2,1,19,11,,1,1,1,1,3,3,1,4,5.0,6.0,4,3
79831,79831,35273670102,3527367,1,2,1,2,0,25,0,1.0,1,5,3.59,11755,0,2,1,19,11,,1,1,1,2,1,1,1,1,1.0,1.0,9,1
79832,79832,35273670103,3527367,1,3,0,2,0,8,0,1.0,1,4,1.53,11755,0,2,1,19,11,,1,1,1,2,1,1,1,1,1.0,1.0,9,1
79833,79833,35273670104,3527367,1,4,0,2,0,9,0,1.0,1,9,3.87,11780,0,2,1,19,11,,1,1,1,1,1,1,1,1,2.0,3.0,9,1
79834,79834,35273670105,3527367,1,5,0,2,0,20,0,1.0,1,10,3.08,11787,0,2,1,19,11,,1,1,1,1,2,2,1,2,2.0,3.0,9,1
79835,79835,35273670106,3527367,1,6,0,2,1,3,0,1.0,1,15,3.19,11787,0,2,1,19,11,,1,1,1,2,2,2,1,2,3.0,4.0,9,1
79843,79843,35274180102,3527418,1,2,1,5,0,9,0,1.0,1,22,5.21,11746,0,2,1,19,11,,1,1,1,1,1,1,1,3,3.0,4.0,4,3
79844,79844,35274180103,3527418,1,3,0,5,1,3,0,1.0,1,20,5.27,11747,0,2,1,19,11,,1,1,1,1,2,2,1,3,3.0,4.0,4,3
79885,79885,35274460202,3527446,2,2,1,2,0,10,0,1.0,1,50,32.26,11740,0,2,1,19,11,,1,1,1,1,1,1,1,4,5.0,6.0,9,3
79886,79886,35274460203,3527446,2,3,0,2,0,15,0,1.0,1,55,39.4,11793,0,2,1,19,11,,1,1,1,1,2,2,1,4,6.0,6.0,9,3
