,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,TOUR_PURP,OTPURP,DTPURP,OTPURP_AGG,DTPURP_AGG,DTPURP2,LTMODE_AGG,MODE_SAMP,TOTTR,TRPDUR,TRPDIST_HN,TRPDUR_HN,OZIP,DZIP,HZIP,DNYC,GEO_GROUP1,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORK_PURP,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
133770,133770,40163860103,4016386,1,3,0,2,0,1,21,14,7,1,0,2.2,9.0,2,90,0.0,0.0,10468,0,11801,0,3,1,1,17,10,,1,1,1,1,1,2,2,2,5,6.0,6.0,4,2
133771,133771,40163860104,4016386,1,4,0,2,0,1,14,14,1,1,21,2.2,9.0,4,15,0.0,0.0,0,0,11801,0,3,7,6,17,10,,1,1,1,1,1,3,3,4,2,2.0,3.0,4,2
133772,133772,40163860105,4016386,1,5,0,2,0,1,14,14,1,1,0,2.2,9.0,4,15,0.0,0.0,0,0,11801,0,3,7,6,17,10,,1,1,1,1,1,4,4,4,2,2.0,3.0,4,2
133773,133773,40163860202,4016386,2,2,1,2,0,5,3,19,0,6,0,1.0,9.0,1,10,1.25,3.34,11801,11801,11801,0,3,2,1,19,11,,1,1,1,2,2,1,1,1,2,2.0,3.0,4,2
133774,133774,40163860203,4016386,2,3,0,2,0,5,19,15,6,6,0,1.0,9.0,1,5,1.25,3.34,11801,11801,11801,0,3,2,1,19,11,,1,1,1,2,2,1,1,1,1,2.0,3.0,4,2
133775,133775,40163860204,4016386,2,4,0,2,0,5,15,17,6,5,0,1.0,9.0,1,1,0.45,0.0,11801,11801,11801,0,3,2,1,19,11,,1,1,1,2,2,1,1,1,1,1.0,1.0,4,2
133776,133776,40163860205,4016386,2,5,0,2,1,5,17,3,5,0,0,1.0,9.0,1,5,0.45,0.0,11801,11801,11801,0,3,2,1,19,11,,1,1,1,2,2,1,1,1,1,1.0,1.0,4,2
133777,133777,40163860206,4016386,2,6,1,2,0,8,3,21,0,7,0,2.1,9.0,2,120,29.73,54.75,11801,10468,11801,1,3,2,1,19,11,,1,1,1,2,2,1,1,2,5,6.0,6.0,4,2
133778,133778,40163860207,4016386,2,7,0,2,0,8,21,20,7,6,0,2.1,9.0,2,90,0.0,0.0,10468,0,11801,0,3,1,1,19,11,,1,1,1,2,2,2,2,2,5,6.0,6.0,4,2
133779,133779,40163860208,4016386,2,8,0,2,0,8,20,15,6,6,21,1.0,9.0,1,25,0.0,0.0,0,0,11801,0,3,7,6,19,11,,1,1,1,2,2,2,2,1,3,4.0,5.0,4,2
133780,133780,40163860209,4016386,2,9,0,2,0,8,15,27,6,8,0,1.0,9.0,1,10,0.0,0.0,0,0,11801,0,3,7,6,19,11,,1,1,1,2,2,2,2,1,2,2.0,3.0,4,2
133781,133781,40163860210,4016386,2,10,0,2,0,8,27,26,8,9,0,1.0,9.0,1,15,0.0,0.0,0,0,11801,0,3,7,6,19,11,,1,1,1,2,2,2,2,1,2,3.0,4.0,4,2
133782,133782,40163860211,4016386,2,11,0,2,0,8,26,27,9,8,0,1.0,9.0,1,15,0.0,0.0,0,0,11801,0,3,7,6,19,11,,1,1,1,2,2,3,3,1,2,3.0,4.0,4,2
133888,133888,40170260102,4017026,1,2,1,1,0,1,3,14,0,1,0,1.0,9.0,1,25,0.0,0.0,11715,11727,11715,0,3,2,1,19,11,,1,1,1,1,1,1,1,1,3,4.0,5.0,2,3
133889,133889,40170260103,4017026,1,3,0,1,0,1,14,14,1,1,21,2.1,9.0,3,30,0.0,0.0,11727,11713,11715,0,3,2,1,19,11,,1,1,1,1,1,1,1,3,3,4.0,5.0,2,3
133890,133890,40170260104,4017026,1,4,0,1,0,1,14,14,1,1,0,2.1,9.0,3,30,0.0,0.0,11713,11727,11715,0,3,2,1,19,11,,1,1,1,1,1,2,2,3,3,4.0,5.0,2,3
133891,133891,40170260105,4017026,1,5,0,1,0,1,14,27,1,8,0,1.0,9.0,1,5,0.0,0.0,11727,11727,11715,0,3,2,1,19,11,,1,1,1,1,1,2,2,1,1,1.0,2.0,2,3
133892,133892,40170260106,4017026,1,6,0,1,1,1,27,3,8,0,0,1.0,9.0,1,30,8.37,16.58,11727,11715,11715,0,3,2,1,19,11,,1,1,1,1,2,3,3,1,3,4.0,5.0,2,3
133969,133969,40172010102,4017201,1,2,1,2,0,6,3,20,0,6,0,2.1,9.0,2,10,4.94,12.19,11755,11787,11755,0,3,2,1,19,11,,1,1,1,2,2,2,2,2,2,3.0,4.0,4,1
133970,133970,40172010103,4017201,1,3,0,2,1,6,20,3,6,0,0,2.1,9.0,2,20,4.98,14.32,11787,11755,11755,0,3,2,1,19,11,,1,1,1,2,2,2,2,2,3,3.0,4.0,4,1
133971,133971,40172010202,4017201,2,2,1,2,0,0,3,3,0,0,0,2.2,9.0,2,10,4.94,12.19,11755,11787,11755,0,3,2,1,17,10,,1,1,1,2,2,2,2,2,2,3.0,4.0,4,1
133972,133972,40172010203,4017201,2,3,0,2,1,0,3,3,0,0,0,2.2,9.0,2,20,4.98,14.32,11787,11755,11755,0,3,2,1,17,10,,1,1,1,2,2,2,2,2,3,3.0,4.0,4,1
133990,133990,40173330102,4017333,1,2,1,1,0,1,3,14,0,1,0,1.0,9.0,1,61,18.14,46.97,11561,11355,11561,1,3,2,1,19,11,,1,1,1,1,1,1,1,1,4,5.0,6.0,3,1
133991,133991,40173330103,4017333,1,3,0,1,0,1,14,20,1,6,0,1.0,9.0,1,64,16.86,41.32,11355,11572,11561,0,3,1,1,19,11,,1,1,1,1,1,3,3,1,4,5.0,6.0,3,1
133992,133992,40173330104,4017333,1,4,0,1,0,1,20,8,6,6,0,1.0,9.0,1,13,4.54,11.83,11572,11561,11561,0,3,2,1,19,11,,1,1,1,1,2,3,3,1,2,2.0,3.0,3,1
133993,133993,40173330105,4017333,1,5,0,1,1,1,8,3,6,0,0,1.0,9.0,1,6,1.22,5.63,11561,11561,11561,0,3,2,1,19,11,,1,1,1,1,2,3,3,1,1,1.0,2.0,3,1
133997,133997,40173720102,4017372,1,2,1,4,0,1,3,5,0,4,0,2.1,9.0,2,10,1.86,4.76,11554,11566,11566,0,3,2,1,19,11,,1,1,1,1,2,1,1,2,2,2.0,3.0,3,2
133998,133998,40173720103,4017372,1,3,0,4,0,1,5,9,4,1,0,1.0,9.0,1,29,12.18,20.03,11566,11753,11566,0,3,2,1,19,11,,1,1,1,1,1,1,1,1,3,4.0,5.0,3,2
133999,133999,40173720104,4017372,1,4,0,4,1,1,9,3,1,0,0,1.0,9.0,1,25,9.6,17.8,11753,11554,11566,0,3,2,1,19,11,,1,1,1,1,1,3,3,1,3,4.0,5.0,3,2
134000,134000,40173720105,4017372,1,5,1,4,0,9,3,25,0,9,0,2.1,9.0,2,5,1.86,4.76,11554,11566,11566,0,3,2,1,19,11,,1,1,1,2,2,3,3,2,1,2.0,3.0,3,2
134001,134001,40173720106,4017372,1,6,0,4,1,9,25,3,9,0,0,2.1,9.0,2,5,1.86,4.76,11566,11554,11566,0,3,2,1,19,11,,1,1,1,2,2,4,4,2,1,2.0,3.0,3,2
134002,134002,40173720202,4017372,2,2,1,4,0,13,3,97,0,13,0,8.1,11.0,2,5,0.38,0.0,11554,11566,11566,0,3,2,1,23,13,,5,3,97,2,2,1,1,2,1,1.0,1.0,3,2
134003,134003,40173720203,4017372,2,3,0,4,1,13,97,3,13,0,0,8.1,11.0,1,5,0.38,0.0,11566,11554,11566,0,3,2,1,23,13,,5,3,97,2,2,1,1,1,1,1.0,1.0,3,2
134004,134004,40173720204,4017372,2,4,1,4,0,8,3,20,0,6,0,1.0,9.0,1,10,1.86,4.76,11554,11566,11566,0,3,2,1,19,11,,1,1,1,2,2,2,2,1,2,2.0,3.0,3,2
134005,134005,40173720205,4017372,2,5,0,4,0,8,20,27,6,8,0,1.0,9.0,1,12,1.86,4.76,11566,11554,11566,0,3,2,1,19,11,,1,1,1,2,2,2,2,1,2,2.0,3.0,3,2
134006,134006,40173720206,4017372,2,6,0,4,0,8,27,97,8,13,0,8.1,11.0,1,10,0.38,0.0,11554,11566,11566,0,3,2,1,23,13,,5,3,97,2,2,2,2,1,2,1.0,1.0,3,2
134007,134007,40173720207,4017372,2,7,0,4,1,8,97,3,13,0,0,8.1,11.0,2,10,0.38,0.0,11566,11554,11566,0,3,2,1,23,13,,5,3,97,2,2,2,2,2,2,1.0,1.0,3,2
134008,134008,40173720302,4017372,3,2,1,4,0,3,3,12,0,3,13,2.2,9.0,2,10,1.86,4.76,11554,11566,11566,0,3,2,1,17,10,,1,1,1,2,2,1,1,2,2,2.0,3.0,3,2
134009,134009,40173720303,4017372,3,3,0,4,1,3,12,3,3,0,0,9.0,7.0,8,25,1.86,4.76,11566,11554,11566,0,3,2,1,1,1,,3,2,2,2,2,2,2,4,3,2.0,3.0,3,2
134010,134010,40173720304,4017372,3,4,1,4,0,9,3,25,0,9,0,2.2,9.0,2,5,1.86,4.76,11554,11566,11566,0,3,2,1,17,10,,1,1,1,2,2,3,3,2,1,2.0,3.0,3,2
134011,134011,40173720305,4017372,3,5,0,4,1,9,25,3,9,0,0,2.2,9.0,2,5,1.86,4.76,11566,11554,11566,0,3,2,1,17,10,,1,1,1,2,2,4,4,2,1,2.0,3.0,3,2
134012,134012,40173720402,4017372,4,2,1,4,0,3,3,12,0,3,13,8.1,11.0,2,5,0.38,0.0,11554,11566,11566,0,3,2,1,23,13,,5,3,97,2,2,1,1,2,1,1.0,1.0,3,2
134013,134013,40173720403,4017372,4,3,0,4,1,3,12,3,3,0,0,8.1,11.0,2,10,0.38,0.0,11566,11554,11566,0,3,2,1,23,13,,5,3,97,2,2,2,2,2,2,1.0,1.0,3,2
134024,134024,40174630102,4017463,1,2,1,2,0,1,3,9,0,1,0,1.0,9.0,1,25,8.76,26.92,11563,11554,11581,0,3,2,1,19,11,,1,1,1,1,1,1,1,1,3,4.0,5.0,3,3
134025,134025,40174630103,4017463,1,3,0,2,0,1,9,8,1,6,0,2.1,9.0,3,6,0.87,0.0,11554,11530,11581,0,3,2,1,19,11,,1,1,1,1,1,2,2,3,1,2.0,3.0,3,3
134026,134026,40174630104,4017463,1,4,0,2,0,1,8,97,6,13,0,2.1,9.0,3,6,0.87,0.0,11530,11554,11581,0,3,2,1,19,11,,1,1,1,1,2,2,2,3,1,2.0,3.0,3,3
134027,134027,40174630105,4017463,1,5,0,2,0,1,97,9,13,1,0,2.1,9.0,3,4,0.87,0.0,11554,11554,11581,0,3,2,1,19,11,,1,1,1,1,1,2,2,3,1,1.0,1.0,3,3
134028,134028,40174630106,4017463,1,6,0,2,1,1,9,3,1,0,0,1.0,9.0,1,25,8.33,26.84,11554,11563,11581,0,3,2,1,19,11,,1,1,1,1,1,3,3,1,3,4.0,5.0,3,3
134029,134029,40174630202,4017463,2,2,1,2,0,5,3,17,0,5,0,1.0,9.0,1,8,2.07,6.24,11563,11581,11581,0,3,2,1,19,11,,1,1,1,2,2,2,2,1,1,2.0,3.0,3,3
134030,134030,40174630203,4017463,2,3,0,2,1,5,17,3,5,0,0,1.0,9.0,1,11,2.07,6.22,11581,11563,11581,0,3,2,1,19,11,,1,1,1,2,2,2,2,1,2,2.0,3.0,3,3
134031,134031,40174630204,4017463,2,4,1,2,0,5,3,17,0,5,0,1.0,9.0,1,6,2.23,10.11,11563,11580,11581,0,3,2,1,19,11,,1,1,1,2,2,3,3,1,1,1.0,2.0,3,3
134032,134032,40174630205,4017463,2,5,0,2,0,5,17,17,5,5,0,1.0,9.0,1,3,0.4,0.0,11580,11580,11581,0,3,2,1,19,11,,1,1,1,2,2,3,3,1,1,1.0,1.0,3,3
134033,134033,40174630206,4017463,2,6,0,2,1,5,17,3,5,0,0,1.0,9.0,1,7,2.23,9.99,11580,11563,11581,0,3,2,1,19,11,,1,1,1,2,2,3,3,1,1,1.0,2.0,3,3
134034,134034,40174630207,4017463,2,7,1,2,0,4,3,6,0,4,0,1.0,9.0,1,5,0.76,2.92,11563,11580,11581,0,3,2,1,19,11,,1,1,1,2,2,4,4,1,1,1.0,2.0,3,3
134035,134035,40174630208,4017463,2,8,0,2,1,4,6,3,4,0,0,2.1,9.0,2,8,0.76,2.92,11580,11563,11581,0,3,2,1,19,11,,1,1,1,2,2,4,4,2,1,1.0,2.0,3,3
