,PMODE,TOTTR_R,INCOM_R,HHVEH_R,DNYC,HHSIZE,TRPDUR,TRPDIST_HN
337,19,1,4,2,0,4,5,2.01
338,19,1,4,2,0,2,3,8.41
339,19,1,4,2,0,2,4,1.33
340,19,1,4,2,0,2,12,8.41
341,19,1,4,2,0,2,2,1.61
342,19,1,4,2,0,2,12,8.41
343,19,1,4,2,0,2,17,1.33
344,19,1,4,2,0,2,16,8.41
345,19,1,4,2,0,2,30,21.79
346,19,1,4,2,0,2,24,22.19
347,19,1,4,2,0,2,28,21.79
348,19,1,4,2,0,2,26,12.18
349,19,1,4,2,0,2,19,8.41
350,19,1,2,1,0,2,15,1.61
351,19,1,2,1,0,2,15,1.47
352,19,1,2,2,0,2,30,14.42
353,19,1,2,2,0,2,30,11.98
354,6,1,4,2,1,2,70,28.44
355,19,1,4,2,1,2,40,24.57
356,17,2,2,1,0,1,30,0.0
357,17,2,2,1,0,1,25,0.0
358,17,2,2,1,0,1,15,1.58
359,19,1,4,3,0,5,12,2.57
360,19,1,4,3,0,5,12,2.57
361,19,1,4,3,0,5,4,1.09
362,19,1,4,3,0,5,25,2.21
363,19,1,4,3,0,5,10,2.57
364,6,2,4,3,1,5,70,20.06
365,19,1,2,1,0,1,25,0.75
366,19,1,2,1,0,1,5,4.04
367,19,1,2,1,0,1,15,0.92
368,19,1,2,1,0,1,5,0.92
369,19,1,2,1,0,1,8,1.93
370,19,1,2,1,0,1,10,5.29
371,19,1,4,3,0,3,40,16.03
372,19,1,4,3,0,3,45,9.98
373,19,1,4,3,0,3,30,7.35
374,19,1,4,3,0,3,88,60.28
375,19,1,4,3,0,3,105,60.28
376,19,1,3,2,0,2,20,3.64
377,19,1,3,2,0,2,20,3.64
378,19,1,3,2,0,2,30,0.0
379,19,1,3,2,0,2,20,0.0
380,19,1,3,2,0,4,6,3.47
381,19,1,3,2,0,4,5,2.31
382,19,2,3,2,0,4,6,1.49
383,19,2,3,2,0,4,8,1.93
384,19,1,3,2,0,4,8,3.45
385,19,1,3,2,0,4,12,3.47
386,19,1,3,2,0,4,10,0.92
387,19,2,3,2,0,4,13,3.45
388,19,2,3,2,0,3,39,13.43
389,19,1,3,2,0,3,8,3.76
390,19,1,3,2,0,3,28,8.46
391,19,1,3,2,0,3,27,9.37
392,19,1,3,2,0,3,35,2.74
393,19,1,3,2,0,3,10,1.74
394,19,2,3,2,0,3,20,13.9
395,19,1,1,1,0,1,10,2.84
396,19,1,1,1,0,1,15,2.27
397,19,1,1,1,0,1,5,0.42
398,19,1,1,1,0,1,10,0.82
399,19,1,1,1,0,1,10,1.95
400,19,1,4,2,0,4,39,17.73
401,19,1,4,2,0,4,38,17.7
402,19,1,4,2,0,4,15,3.49
403,19,1,4,2,0,4,15,3.49
404,19,1,4,2,0,5,5,4.12
405,19,1,4,2,0,5,5,4.12
406,19,1,4,3,0,3,3,0.0
407,19,1,4,3,0,3,12,0.0
408,19,1,4,3,0,3,11,8.77
409,19,1,4,3,0,3,17,3.63
410,19,1,4,3,0,3,18,3.63
411,19,1,3,1,0,1,21,15.1
412,19,1,3,1,0,1,14,2.97
413,19,1,3,1,0,1,26,17.48
414,19,1,3,1,0,1,25,15.1
415,19,1,3,1,0,1,23,15.18
416,19,1,2,1,0,1,2,0.76
417,19,1,2,1,0,1,20,5.88
418,19,1,2,1,0,1,26,10.52
419,19,1,2,1,0,1,45,15.0
420,6,1,4,3,1,2,90,45.08
421,19,1,4,3,0,2,5,1.51
422,19,1,4,3,0,2,30,7.1
423,19,1,4,3,0,2,30,7.1
424,19,1,4,2,1,2,105,48.71
425,19,1,4,2,0,4,52,21.43
426,19,1,4,2,0,4,32,20.66
427,23,1,4,2,0,4,7,2.86
428,23,1,4,2,0,4,7,2.62
429,19,1,4,2,0,4,15,6.82
430,19,1,4,2,0,4,12,6.82
431,6,1,4,3,1,4,155,44.4
432,19,1,4,3,0,4,15,6.0
433,19,1,4,3,0,4,20,5.98
434,19,1,4,3,0,4,15,4.03
435,19,1,4,3,0,4,20,4.03
436,19,1,4,3,0,3,15,2.1
437,19,1,4,3,0,3,15,2.1
438,19,1,4,3,0,4,25,11.82
439,19,1,4,3,0,4,34,8.69
440,19,1,4,3,0,4,11,1.9
441,19,1,4,3,0,4,57,11.92
442,19,1,4,3,0,4,15,3.18
443,19,1,4,3,0,4,7,0.41
444,19,1,4,3,0,4,4,0.41
445,19,1,4,3,0,4,5,1.41
446,19,1,4,3,0,4,12,0.64
