,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,OTPURP,DTPURP,OTPURP_AGG,DTPURP_AGG,DTPURP2,LTMODE_AGG,MODE_SAMP,TOTTR,TRPDUR,TRPDIST_HN,TRPDUR_HN,OZIP,DZIP,HZIP,DNYC,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORK_PURP,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
69446,69446,34850230202,3485023,2,2,1,3,0,1,9,0,1,0,1.0,9.0,1,15,3.01,7.42,11568,11501,11568,0,2,1,19,11,,1,1,1,1,1,3,3,1,2,2.0,3.0,4,1
69447,69447,34850230203,3485023,2,3,0,3,1,9,3,1,0,2,1.0,9.0,1,15,3.05,8.27,11501,11568,11568,0,2,1,19,11,,1,1,1,1,1,3,3,1,2,2.0,3.0,4,1
69448,69448,34850890102,3485089,1,2,1,2,0,3,5,0,4,0,2.1,9.0,2,10,1.53,4.12,11735,11735,11735,0,2,1,19,11,,1,1,1,1,2,1,1,2,2,1.0,2.0,3,1
69449,69449,34850890103,3485089,1,3,0,2,0,5,9,4,1,0,1.0,9.0,1,13,5.49,15.9,11735,11747,11735,0,2,1,19,11,,1,1,1,1,1,1,1,1,2,3.0,4.0,3,1
69450,69450,34850890104,3485089,1,4,0,2,0,9,6,1,4,0,1.0,9.0,1,20,5.9,14.85,11747,11735,11735,0,2,1,19,11,,1,1,1,1,1,2,2,1,3,2.0,3.0,3,1
69451,69451,34850890105,3485089,1,5,0,2,0,6,6,4,4,0,2.1,9.0,2,13,1.11,2.97,11735,11735,11735,0,2,1,19,11,,1,1,1,1,2,2,2,2,2,1.0,2.0,3,1
69452,69452,34850890106,3485089,1,6,0,2,0,6,5,4,4,0,2.1,9.0,3,3,1.11,2.98,11735,11735,11735,0,2,1,19,11,,1,1,1,1,2,2,2,3,1,1.0,2.0,3,1
69453,69453,34850890107,3485089,1,7,0,2,0,5,9,4,1,0,1.0,9.0,1,13,5.96,14.97,11735,11747,11735,0,2,1,19,11,,1,1,1,1,1,2,2,1,2,2.0,3.0,3,1
69454,69454,34850890108,3485089,1,8,0,2,0,9,6,1,4,0,1.0,9.0,1,27,6.66,16.04,11747,11735,11735,0,2,1,19,11,,1,1,1,1,1,3,3,1,3,3.0,4.0,3,1
69455,69455,34850890109,3485089,1,9,0,2,1,6,3,4,0,0,2.1,9.0,2,3,1.03,2.74,11735,11735,11735,0,2,1,19,11,,1,1,1,1,2,3,3,2,1,1.0,1.0,3,1
