,Unnamed: 0,Unnamed: 0.1,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,DTPURP,DTPURP2,LTMODE_AGG,TOTTR,TRPDUR,TRPDIST_HN,OZIP,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R
60,2512,2512,30106560107,3010656,1,7,0,1,1,3,0,1.0,1,16,0.0,11735,0,19,1,4,1
61,2606,2606,30111420202,3011142,2,2,1,2,0,9,10,1.0,1,25,16.29,11703,0,19,1,4,2
62,2607,2607,30111420203,3011142,2,3,0,2,1,3,0,1.0,1,30,16.64,11553,0,19,1,4,2
63,2709,2709,30116090308,3011609,3,8,1,3,0,9,0,1.0,1,34,20.54,11010,1,19,1,4,2
64,2896,2896,30125240202,3012524,2,2,1,2,0,9,0,1.0,1,21,15.38,11779,0,19,1,3,2
65,2897,2897,30125240203,3012524,2,3,0,2,0,19,0,8.1,1,5,0.81,11703,0,23,1,3,2
66,2898,2898,30125240204,3012524,2,4,0,2,0,20,0,1.0,1,65,40.74,11703,1,19,1,3,2
67,3073,3073,30131690102,3013169,1,2,1,1,0,9,0,7.0,1,116,38.23,11746,1,6,1,4,1
68,3187,3187,30137940202,3013794,2,2,1,2,0,9,0,1.0,1,15,5.33,11714,0,19,1,1,1
69,3188,3188,30137940203,3013794,2,3,0,2,1,3,0,1.0,1,15,5.3,11554,0,19,1,1,1
70,3294,3294,30142930102,3014293,1,2,1,3,0,5,0,2.2,2,25,5.64,11776,0,17,2,4,3
71,3295,3295,30142930103,3014293,1,3,0,3,0,9,0,1.0,1,12,7.3,11720,0,19,1,4,3
72,3296,3296,30142930104,3014293,1,4,0,3,0,6,0,1.0,1,15,7.31,11772,0,19,1,4,3
73,3297,3297,30142930105,3014293,1,5,0,3,0,16,0,2.2,2,25,5.31,11720,0,17,2,4,3
74,3298,3298,30142930106,3014293,1,6,0,3,1,3,0,2.2,2,10,3.01,11776,0,17,2,4,3
75,3301,3301,30142930202,3014293,2,2,1,3,0,9,0,2.1,2,25,5.64,11776,0,19,2,4,3
76,3302,3302,30142930203,3014293,2,3,0,3,0,16,0,2.1,2,25,5.31,11720,0,19,2,4,3
77,3303,3303,30142930204,3014293,2,4,0,3,1,1,3,2.1,2,10,3.01,11776,0,19,2,4,3
78,3306,3306,30142930302,3014293,3,2,1,3,0,9,21,1.0,1,85,43.65,11776,0,19,1,4,3
79,3307,3307,30142930303,3014293,3,3,0,3,1,3,0,1.0,1,90,43.79,11042,0,19,1,4,3
80,3325,3325,30144020102,3014402,1,2,1,4,0,9,0,1.0,1,80,61.35,11786,1,19,1,4,2
81,3330,3330,30144020107,3014402,1,7,0,4,1,3,0,2.1,2,25,10.67,11777,0,19,2,4,2
82,3331,3331,30144020202,3014402,2,2,1,4,0,5,0,2.1,3,5,4.19,11786,0,19,3,4,2
83,3332,3332,30144020203,3014402,2,3,0,4,0,9,0,1.0,1,19,2.82,11786,0,19,1,4,2
84,3333,3333,30144020204,3014402,2,4,0,4,0,6,0,1.0,1,21,16.15,11961,0,19,1,4,2
85,3334,3334,30144020205,3014402,2,5,0,4,0,5,0,2.1,2,30,13.45,11742,0,19,2,4,2
86,3335,3335,30144020206,3014402,2,6,0,4,1,3,0,1.0,1,24,10.67,11777,0,19,1,4,2
87,3491,3491,30150250102,3015025,1,2,1,2,0,19,0,1.0,1,1,0.44,11710,0,19,1,4,1
88,3492,3492,30150250103,3015025,1,3,0,2,0,9,10,1.0,1,2,0.44,11554,0,19,1,4,1
89,3493,3493,30150250104,3015025,1,4,0,2,1,3,0,1.0,1,6,0.44,11554,0,19,1,4,1
90,3494,3494,30150250105,3015025,1,5,1,2,0,14,0,1.0,1,17,6.75,11710,0,19,1,4,1
91,3495,3495,30150250106,3015025,1,6,0,2,1,3,14,1.0,1,15,6.74,11530,0,19,1,4,1
92,3690,3690,30157920102,3015792,1,2,1,1,0,9,0,1.0,1,46,36.98,11934,0,19,1,2,1
93,3691,3691,30157920103,3015792,1,3,0,1,1,3,0,1.0,1,49,37.53,11944,0,19,1,2,1
94,3750,3750,30160790102,3016079,1,2,1,1,0,9,0,1.0,1,31,14.92,11746,0,19,1,2,1
95,3751,3751,30160790103,3016079,1,3,0,1,1,3,0,1.0,1,28,15.03,11758,0,19,1,2,1
96,4105,4105,30179180102,3017918,1,2,1,5,0,9,0,1.0,1,40,19.38,11787,0,18,1,4,3
97,4106,4106,30179180103,3017918,1,3,0,5,1,3,0,1.0,1,30,20.08,11803,0,18,1,4,3
98,4107,4107,30179180202,3017918,2,2,1,5,0,5,0,2.1,3,10,3.03,11787,0,19,3,4,3
99,4108,4108,30179180203,3017918,2,3,0,5,0,6,0,1.0,1,35,9.21,11754,0,19,1,4,3
100,4109,4109,30179180204,3017918,2,4,0,5,0,9,0,2.1,2,30,6.89,11721,0,19,2,4,3
101,4110,4110,30179180205,3017918,2,5,0,5,0,5,0,2.1,2,15,4.69,11747,0,19,2,4,3
102,4111,4111,30179180206,3017918,2,6,0,5,0,16,0,1.0,1,15,0.0,11735,0,19,1,4,3
103,4112,4112,30179180207,3017918,2,7,0,5,0,17,0,1.0,1,5,0.0,11747,0,19,1,4,3
104,4113,4113,30179180208,3017918,2,8,0,5,0,9,0,1.0,1,5,1.41,11747,0,19,1,4,3
105,4114,4114,30179180209,3017918,2,9,0,5,0,26,0,1.0,1,40,13.86,11747,0,19,1,4,3
106,4115,4115,30179180210,3017918,2,10,0,5,0,6,0,1.0,1,10,3.34,11725,0,19,1,4,3
107,4116,4116,30179180211,3017918,2,11,0,5,1,3,0,2.1,3,5,2.97,11787,0,19,3,4,3
108,4200,4200,30182000202,3018200,2,2,1,2,0,21,0,1.0,1,5,1.77,11566,0,19,1,2,2
109,4201,4201,30182000203,3018200,2,3,0,2,0,9,0,1.0,1,8,1.84,11566,0,19,1,2,2
110,4202,4202,30182000204,3018200,2,4,0,2,0,9,0,1.0,1,30,10.8,11520,0,19,1,2,2
111,4203,4203,30182000205,3018200,2,5,0,2,1,3,0,1.0,1,15,10.47,11501,0,19,1,2,2
112,4373,4373,30193290102,3019329,1,2,1,1,0,9,0,1.0,1,20,6.86,11743,0,19,1,2,1
113,4374,4374,30193290103,3019329,1,3,0,1,1,3,0,1.0,1,15,6.86,11743,0,19,1,2,1
114,4433,4433,30195430102,3019543,1,2,1,4,0,9,0,7.1,1,55,20.81,11580,1,6,1,4,2
115,4437,4437,30195430112,3019543,1,12,0,4,1,3,0,1.0,1,5,1.27,11580,0,19,1,4,2
116,4444,4444,30195430206,3019543,2,6,1,4,0,21,0,1.0,1,5,1.27,11580,0,19,1,4,2
117,4445,4445,30195430207,3019543,2,7,0,4,0,9,10,1.0,1,5,1.27,11580,0,19,1,4,2
118,4446,4446,30195430208,3019543,2,8,0,4,0,20,0,1.0,1,5,2.46,11580,0,19,1,4,2
119,4447,4447,30195430209,3019543,2,9,0,4,0,9,10,1.0,1,5,1.77,11580,0,19,1,4,2
120,4448,4448,30195430210,3019543,2,10,0,4,0,19,0,1.0,1,10,1.27,11580,0,19,1,4,2
121,4449,4449,30195430211,3019543,2,11,0,4,0,21,0,1.0,1,25,1.01,11580,0,19,1,4,2
122,4450,4450,30195430212,3019543,2,12,0,4,0,9,10,1.0,1,5,0.98,11580,0,19,1,4,2
123,4451,4451,30195430213,3019543,2,13,0,4,0,20,0,1.0,1,5,2.46,11580,0,19,1,4,2
124,4452,4452,30195430214,3019543,2,14,0,4,0,6,0,2.1,2,5,0.41,11580,0,19,2,4,2
125,4453,4453,30195430215,3019543,2,15,0,4,1,3,0,2.1,3,12,1.77,11580,0,19,3,4,2
126,4507,4507,30197370102,3019737,1,2,1,1,0,14,0,1.0,1,125,39.02,11757,1,19,1,2,2
127,4512,4512,30197370107,3019737,1,7,1,1,0,14,0,1.0,1,22,14.73,11757,0,19,1,2,2
128,4513,4513,30197370108,3019737,1,8,0,1,1,3,0,1.0,1,27,15.34,11788,0,19,1,2,2
129,4520,4520,30198180202,3019818,2,2,1,2,0,9,10,1.0,1,45,0.0,11754,0,19,1,4,2
130,4521,4521,30198180203,3019818,2,3,0,2,0,14,0,1.0,1,20,12.05,11742,0,19,1,4,2
131,4522,4522,30198180204,3019818,2,4,0,2,0,14,0,1.0,1,60,37.21,11733,0,19,1,4,2
132,4523,4523,30198180205,3019818,2,5,0,2,0,14,0,1.0,1,15,2.62,11530,0,19,1,4,2
133,4524,4524,30198180206,3019818,2,6,0,2,0,14,0,1.0,1,30,6.55,11530,0,19,1,4,2
134,4525,4525,30198180207,3019818,2,7,0,2,0,9,10,1.0,1,50,28.86,11753,0,19,1,4,2
135,4526,4526,30198180208,3019818,2,8,0,2,0,14,0,1.0,1,30,12.05,11742,0,19,1,4,2
136,4527,4527,30198180209,3019818,2,9,0,2,0,14,0,1.0,1,30,25.64,11733,0,19,1,4,2
137,4528,4528,30198180210,3019818,2,10,0,2,1,1,3,1.0,1,30,0.0,11797,0,19,1,4,2
138,4761,4761,30206760402,3020676,4,2,1,4,0,9,10,1.0,1,15,7.81,11731,0,19,1,9,3
139,4762,4762,30206760403,3020676,4,3,0,4,1,3,0,1.0,1,22,7.81,11724,0,19,1,9,3
140,4937,4937,30214140102,3021414,1,2,1,5,0,5,0,2.1,2,5,0.37,11703,0,19,2,3,3
141,4938,4938,30214140103,3021414,1,3,0,5,0,9,0,1.0,1,18,7.91,11703,0,19,1,3,3
142,4939,4939,30214140104,3021414,1,4,0,5,0,20,0,1.0,1,30,7.78,11747,0,19,1,3,3
143,4940,4940,30214140105,3021414,1,5,0,5,1,3,0,2.1,2,5,0.37,11703,0,19,2,3,3
144,4944,4944,30214140202,3021414,2,2,1,5,0,9,0,1.0,1,105,33.56,11703,1,19,1,3,3
145,5011,5011,30216490202,3021649,2,2,1,3,0,14,0,1.0,1,40,12.2,11757,0,19,1,2,3
146,5012,5012,30216490203,3021649,2,3,0,3,0,14,0,1.0,1,60,9.81,11554,0,19,1,2,3
147,5013,5013,30216490204,3021649,2,4,0,3,1,3,0,1.0,1,50,14.06,11791,0,19,1,2,3
148,5071,5071,30218390202,3021839,2,2,1,3,0,9,0,1.0,1,10,7.67,11701,0,19,1,1,2
149,5072,5072,30218390203,3021839,2,3,0,3,1,3,0,1.0,1,15,7.5,11798,0,19,1,1,2
150,5433,5433,30233870202,3023387,2,2,1,2,0,9,0,1.0,1,20,7.03,11768,0,19,1,4,2
151,5434,5434,30233870203,3023387,2,3,0,2,1,3,0,1.0,1,22,7.03,11724,0,19,1,4,2
152,5500,5500,30237860102,3023786,1,2,1,4,0,9,0,1.0,1,30,7.29,11778,0,19,1,4,2
153,5501,5501,30237860103,3023786,1,3,0,4,1,3,0,1.0,1,30,7.29,11961,0,19,1,4,2
154,5574,5574,30240890202,3024089,2,2,1,2,0,9,0,1.0,1,23,10.84,11570,0,19,1,9,2
155,5575,5575,30240890203,3024089,2,3,0,2,0,23,0,1.0,1,28,14.25,11714,0,19,1,9,2
156,5576,5576,30240890204,3024089,2,4,0,2,1,3,0,1.0,1,57,7.35,11040,0,19,1,9,2
157,5586,5586,30241270102,3024127,1,2,1,3,0,9,0,7.0,1,98,21.51,11021,1,6,1,4,3
158,5588,5588,30241270202,3024127,2,2,1,3,0,9,0,1.0,1,41,16.73,11021,1,19,1,4,3
159,5590,5590,30241270302,3024127,3,2,1,3,0,9,0,1.0,1,10,1.72,11021,0,19,1,4,3
160,5591,5591,30241270303,3024127,3,3,0,3,1,3,0,1.0,1,9,1.72,11030,0,19,1,4,3
161,5790,5790,30257760105,3025776,1,5,1,2,0,16,0,1.0,1,9,0.77,11772,0,19,1,2,2
162,5791,5791,30257760106,3025776,1,6,0,2,0,21,0,1.0,1,29,19.74,11772,0,19,1,2,2
163,5792,5792,30257760107,3025776,1,7,0,2,0,9,0,1.0,1,4,0.75,11788,0,19,1,2,2
164,5793,5793,30257760108,3025776,1,8,0,2,1,3,0,1.0,1,26,18.69,11788,0,19,1,2,2
165,5864,5864,30264780102,3026478,1,2,1,2,0,9,0,2.1,2,30,17.44,11751,0,19,2,3,3
166,5865,5865,30264780104,3026478,1,4,0,2,1,3,0,1.0,1,45,17.91,11756,0,19,1,3,3
167,5866,5866,30264780202,3026478,2,2,1,2,0,9,0,2.2,2,40,21.51,11751,0,17,2,3,3
168,5867,5867,30264780205,3026478,2,5,0,2,1,3,0,1.0,1,40,22.15,11801,0,19,1,3,3
169,6230,6230,30318800102,3031880,1,2,1,1,0,9,0,1.0,1,40,26.31,11950,0,19,1,2,1
170,6231,6231,30318800103,3031880,1,3,0,1,1,3,0,1.0,1,35,25.85,11788,0,19,1,2,1
171,6255,6255,30323550102,3032355,1,2,1,2,0,9,0,1.0,1,24,9.03,11542,0,19,1,4,2
172,6256,6256,30323550103,3032355,1,3,0,2,1,3,0,1.0,1,30,9.07,11050,0,19,1,4,2
173,6304,6304,30327940402,3032794,4,2,1,4,0,21,0,1.0,1,18,0.0,11772,0,19,1,4,3
174,6305,6305,30327940403,3032794,4,3,0,4,0,9,10,1.0,1,5,0.0,11727,0,19,1,4,3
175,6306,6306,30327940404,3032794,4,4,0,4,1,3,0,1.0,1,21,9.64,11776,0,19,1,4,3
176,6470,6470,30347520102,3034752,1,2,1,2,0,9,0,1.0,1,40,2.16,11978,0,19,1,2,2
177,6471,6471,30347520104,3034752,1,4,0,2,1,3,0,1.0,1,5,2.16,11978,0,19,1,2,2
178,6472,6472,30347520105,3034752,1,5,1,2,0,9,0,1.0,1,5,2.16,11978,0,19,1,2,2
179,6473,6473,30347520106,3034752,1,6,0,2,1,3,0,1.0,1,5,2.16,11978,0,19,1,2,2
180,6476,6476,30347520204,3034752,2,4,1,2,0,9,0,1.0,1,15,14.84,11978,0,19,1,2,2
181,6477,6477,30347520205,3034752,2,5,0,2,1,3,0,1.0,1,15,14.31,11901,0,19,1,2,2
182,6548,6548,30355950102,3035595,1,2,1,1,0,9,10,1.0,1,60,40.88,11772,1,19,1,2,1
183,6679,6679,30369090102,3036909,1,2,1,2,0,9,0,1.0,1,18,8.71,11735,0,19,1,4,2
184,6680,6680,30369090103,3036909,1,3,0,2,0,19,0,1.0,1,17,6.61,11756,0,19,1,4,2
185,6681,6681,30369090104,3036909,1,4,0,2,0,8,0,1.0,1,3,0.0,11735,0,19,1,4,2
186,6682,6682,30369090105,3036909,1,5,0,2,1,3,0,1.0,1,40,0.0,11735,0,19,1,4,2
187,6687,6687,30369090202,3036909,2,2,1,2,0,16,0,1.0,1,6,2.16,11735,0,19,1,4,2
188,6688,6688,30369090203,3036909,2,3,0,2,0,21,0,1.0,1,2,0.36,11735,0,19,1,4,2
189,6689,6689,30369090204,3036909,2,4,0,2,0,9,0,1.0,1,20,15.02,11735,0,19,1,4,2
190,6690,6690,30369090205,3036909,2,5,0,2,0,21,0,1.0,1,6,3.0,11788,0,19,1,4,2
191,6691,6691,30369090206,3036909,2,6,0,2,0,9,0,1.0,1,9,3.02,11788,0,19,1,4,2
192,6692,6692,30369090207,3036909,2,7,0,2,0,19,0,1.0,1,22,15.61,11788,0,19,1,4,2
193,6693,6693,30369090208,3036909,2,8,0,2,0,17,0,1.0,1,1,0.36,11735,0,19,1,4,2
194,6694,6694,30369090209,3036909,2,9,0,2,0,18,0,1.0,1,2,0.36,11735,0,19,1,4,2
195,6695,6695,30369090210,3036909,2,10,0,2,1,3,0,1.0,1,10,2.16,11735,0,19,1,4,2
196,6853,6853,30381610102,3038161,1,2,1,4,0,9,0,1.0,1,4,2.08,11793,0,19,1,4,2
197,6854,6854,30381610103,3038161,1,3,0,4,1,3,0,1.0,1,3,2.37,11783,0,19,1,4,2
198,6888,6888,30382910202,3038291,2,2,1,2,0,6,0,1.0,1,15,2.47,11757,0,19,1,2,2
199,6889,6889,30382910203,3038291,2,3,0,2,0,9,0,2.1,2,9,0.0,11757,0,19,2,2,2
200,6890,6890,30382910204,3038291,2,4,0,2,0,19,0,2.1,2,3,0.0,11735,0,19,2,2,2
201,6891,6891,30382910205,3038291,2,5,0,2,0,9,0,2.1,2,5,0.0,11735,0,19,2,2,2
202,6892,6892,30382910206,3038291,2,6,0,2,0,5,0,2.1,2,15,0.0,11735,0,19,2,2,2
203,6893,6893,30382910207,3038291,2,7,0,2,1,3,0,1.0,1,9,2.54,11757,0,19,1,2,2
204,7230,7230,31009200202,3100920,2,2,1,2,0,9,0,1.0,1,15,3.47,11719,0,19,1,4,2
205,7231,7231,31009200203,3100920,2,3,0,2,1,3,0,1.0,1,15,3.47,11772,0,19,1,4,2
206,7268,7268,31010940102,3101094,1,2,1,4,0,9,0,1.0,1,15,4.2,11581,0,19,1,2,3
207,7269,7269,31010940103,3101094,1,3,0,4,1,3,0,1.0,1,16,4.34,11096,0,19,1,2,3
208,7270,7270,31010940402,3101094,4,2,1,4,0,9,0,1.0,1,17,4.47,11581,0,19,1,2,3
209,7271,7271,31010940403,3101094,4,3,0,4,1,3,0,1.0,1,15,4.47,11570,0,19,1,2,3
210,7272,7272,31010940404,3101094,4,4,1,4,0,9,0,1.0,1,15,4.47,11581,0,19,1,2,3
211,7273,7273,31010940405,3101094,4,5,0,4,1,3,0,1.0,1,18,4.47,11570,0,19,1,2,3
212,7465,7465,31019000102,3101900,1,2,1,1,0,9,0,1.0,1,15,3.43,11570,0,19,1,2,2
213,7466,7466,31019000103,3101900,1,3,0,1,0,22,0,1.0,1,15,2.64,11518,0,19,1,2,2
214,7467,7467,31019000104,3101900,1,4,0,1,1,3,0,1.0,1,10,1.3,11570,0,19,1,2,2
215,7595,7595,31026040102,3102604,1,2,1,3,0,14,0,1.0,1,37,21.25,11950,0,19,1,2,1
216,7596,7596,31026040103,3102604,1,3,0,3,0,19,0,1.0,1,27,20.63,11779,0,19,1,2,1
217,7597,7597,31026040104,3102604,1,4,0,3,0,9,0,1.0,1,29,20.86,11950,0,19,1,2,1
218,7598,7598,31026040105,3102604,1,5,0,3,0,9,96,1.0,1,58,2.48,11901,0,19,1,2,1
219,7599,7599,31026040106,3102604,1,6,0,3,1,3,0,1.0,1,33,20.99,11901,0,19,1,2,1
220,7620,7620,31026100102,3102610,1,2,1,1,0,14,0,7.0,1,109,0.0,11050,1,6,1,4,3
221,8139,8139,31046790102,3104679,1,2,1,2,0,9,0,1.0,1,25,7.82,11766,0,19,1,4,2
222,8140,8140,31046790103,3104679,1,3,0,2,1,3,0,1.0,1,25,7.83,11733,0,19,1,4,2
223,8141,8141,31046790202,3104679,2,2,1,2,0,9,10,1.0,1,35,27.97,11766,0,19,1,4,2
224,8142,8142,31046790203,3104679,2,3,0,2,1,3,0,1.0,1,52,28.1,11702,0,19,1,4,2
225,8501,8501,31058530102,3105853,1,2,1,1,0,17,0,1.0,1,11,6.91,11741,0,19,1,3,1
226,8502,8502,31058530103,3105853,1,3,0,1,0,10,17,1.0,1,12,9.96,11716,0,19,1,3,1
227,8503,8503,31058530104,3105853,1,4,0,1,0,17,0,1.0,1,6,1.26,11706,0,19,1,3,1
228,8504,8504,31058530105,3105853,1,5,0,1,0,17,0,1.0,1,12,11.97,11706,0,19,1,3,1
229,8505,8505,31058530106,3105853,1,6,0,1,0,17,0,1.0,1,11,7.36,11716,0,19,1,3,1
230,8506,8506,31058530107,3105853,1,7,0,1,1,3,0,1.0,1,4,0.87,11741,0,19,1,3,1
231,8524,8524,31059060102,3105906,1,2,1,2,0,9,0,1.0,1,10,4.57,11705,0,19,1,2,2
232,8525,8525,31059060103,3105906,1,3,0,2,1,3,0,1.0,1,10,4.68,11772,0,19,1,2,2
233,8658,8658,31063260102,3106326,1,2,1,2,0,21,0,1.0,1,15,0.0,11747,0,19,1,4,2
234,8659,8659,31063260103,3106326,1,3,0,2,0,97,0,1.0,1,41,26.25,11577,0,19,1,4,2
235,8666,8666,31063260110,3106326,1,10,0,2,1,3,0,1.0,1,16,0.0,11753,0,19,1,4,2
236,8667,8667,31063260202,3106326,2,2,1,2,0,17,0,1.0,1,10,0.0,11747,0,19,1,4,2
237,8668,8668,31063260203,3106326,2,3,0,2,0,9,0,1.0,1,8,9.99,11747,0,19,1,4,2
238,8669,8669,31063260204,3106326,2,4,0,2,0,14,0,1.0,1,12,9.65,11753,0,19,1,4,2
239,8670,8670,31063260205,3106326,2,5,0,2,0,17,0,1.0,1,4,1.41,11747,0,19,1,4,2
240,8671,8671,31063260206,3106326,2,6,0,2,1,3,0,1.0,1,8,0.0,11747,0,19,1,4,2
241,8672,8672,31063260207,3106326,2,7,1,2,0,9,0,1.0,1,20,0.0,11747,0,19,1,4,2
242,8673,8673,31063260208,3106326,2,8,0,2,1,3,0,1.0,1,30,0.0,11706,0,19,1,4,2
243,8686,8686,31064380102,3106438,1,2,1,5,0,5,0,2.1,2,7,2.63,11003,0,19,2,4,3
244,8687,8687,31064380103,3106438,1,3,0,5,0,9,0,1.0,1,13,2.15,11001,0,19,1,4,3
