,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,PLSAM,SAMPN,PERNO,PLANO,HHSIZE,TRPDUR,TRPDIST_HN,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R
3616,3616,98185,98185,36766310102,3676631,1,2,1,22,12.57,0,19,1,2,1
3617,3617,98186,98186,36766310103,3676631,1,3,1,6,2.31,0,19,1,2,1
3618,3618,98187,98187,36766310104,3676631,1,4,1,6,2.31,0,19,1,2,1
3619,3619,98188,98188,36766310105,3676631,1,5,1,13,0.92,0,19,1,2,1
3620,3620,98189,98189,36766310106,3676631,1,6,1,19,0.92,0,19,1,2,1
3621,3621,98190,98190,36766310107,3676631,1,7,1,21,12.79,0,19,1,2,1
3622,3622,98191,98191,36766670102,3676667,1,2,1,55,15.32,0,7,1,2,1
3623,3623,98192,98192,36766670104,3676667,1,4,1,40,15.51,0,7,1,2,1
3624,3624,98195,98195,36767050202,3676705,2,2,2,10,3.52,0,19,1,1,2
3625,3625,98196,98196,36767050203,3676705,2,3,2,10,3.52,0,19,1,1,2
3626,3626,98199,98199,36767050206,3676705,2,6,2,12,3.52,0,19,1,1,2
3627,3627,98200,98200,36767050207,3676705,2,7,2,8,3.52,0,19,1,1,2
3628,3628,98206,98206,36767960102,3676796,1,2,4,45,27.8,0,19,1,4,2
3629,3629,98207,98207,36767960103,3676796,1,3,4,48,27.71,0,19,1,4,2
3630,3630,98212,98212,36768000204,3676800,2,4,6,2,0.75,0,19,1,3,3
3631,3631,98213,98213,36768000205,3676800,2,5,6,2,0.75,0,19,1,3,3
3632,3632,98214,98214,36768000206,3676800,2,6,6,2,0.75,0,19,1,3,3
3633,3633,98215,98215,36768000207,3676800,2,7,6,16,0.0,0,19,1,3,3
3634,3634,98216,98216,36768000208,3676800,2,8,6,14,0.0,0,19,1,3,3
3635,3635,98217,98217,36768000209,3676800,2,9,6,15,4.94,0,19,1,3,3
3636,3636,98218,98218,36768000210,3676800,2,10,6,53,34.76,0,19,1,3,3
3637,3637,98219,98219,36768000211,3676800,2,11,6,65,35.65,0,19,1,3,3
3638,3638,98220,98220,36768000212,3676800,2,12,6,2,0.75,0,19,1,3,3
3639,3639,98221,98221,36768000402,3676800,4,2,6,30,10.09,0,19,1,3,3
3640,3640,98222,98222,36768000403,3676800,4,3,6,30,5.04,0,19,1,3,3
3641,3641,98223,98223,36768000404,3676800,4,4,6,30,5.57,0,19,1,3,3
3642,3642,98228,98228,36768020102,3676802,1,2,2,5,1.4,0,19,1,4,3
3643,3643,98229,98229,36768020103,3676802,1,3,2,5,1.4,0,19,1,4,3
3644,3644,98230,98230,36768020104,3676802,1,4,2,5,1.4,0,19,1,4,3
3645,3645,98231,98231,36768020105,3676802,1,5,2,10,1.4,0,19,1,4,3
3646,3646,98232,98232,36768020106,3676802,1,6,2,30,1.4,0,19,1,4,3
3647,3647,98233,98233,36768020202,3676802,2,2,2,60,29.55,0,19,1,4,3
3648,3648,98234,98234,36768020203,3676802,2,3,2,65,29.32,0,19,1,4,3
3649,3649,98260,98260,36769690202,3676969,2,2,3,12,3.21,0,19,1,4,3
3650,3650,98261,98261,36769690204,3676969,2,4,3,16,11.15,0,19,1,4,3
3651,3651,98262,98262,36769690205,3676969,2,5,3,20,6.69,0,19,1,4,3
3652,3652,98263,98263,36769690206,3676969,2,6,3,15,4.47,0,19,2,4,3
