,HHSIZE,TRPDUR,TRPDIST_HN,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R
334,4,2,0.86,0,19,1,4,2
335,4,45,26.95,0,19,1,4,2
336,4,17,0.75,0,19,1,4,2
337,4,5,2.01,0,19,1,4,2
338,2,3,8.41,0,19,1,4,2
339,2,4,1.33,0,19,1,4,2
340,2,12,8.41,0,19,1,4,2
341,2,2,1.61,0,19,1,4,2
342,2,12,8.41,0,19,1,4,2
343,2,17,1.33,0,19,1,4,2
344,2,16,8.41,0,19,1,4,2
345,2,30,21.79,0,19,1,4,2
346,2,24,22.19,0,19,1,4,2
347,2,28,21.79,0,19,1,4,2
348,2,26,12.18,0,19,1,4,2
349,2,19,8.41,0,19,1,4,2
350,2,15,1.61,0,19,1,2,1
351,2,15,1.47,0,19,1,2,1
352,2,30,14.42,0,19,1,2,2
353,2,30,11.98,0,19,1,2,2
354,2,70,28.44,1,6,1,4,2
355,2,40,24.57,1,19,1,4,2
356,1,30,0.0,0,17,2,2,1
357,1,25,0.0,0,17,2,2,1
358,1,15,1.58,0,17,2,2,1
359,5,12,2.57,0,19,1,4,3
360,5,12,2.57,0,19,1,4,3
361,5,4,1.09,0,19,1,4,3
362,5,25,2.21,0,19,1,4,3
363,5,10,2.57,0,19,1,4,3
364,5,70,20.06,1,6,2,4,3
365,1,25,0.75,0,19,1,2,1
366,1,5,4.04,0,19,1,2,1
367,1,15,0.92,0,19,1,2,1
368,1,5,0.92,0,19,1,2,1
369,1,8,1.93,0,19,1,2,1
370,1,10,5.29,0,19,1,2,1
371,3,40,16.03,0,19,1,4,3
372,3,45,9.98,0,19,1,4,3
373,3,30,7.35,0,19,1,4,3
374,3,88,60.28,0,19,1,4,3
375,3,105,60.28,0,19,1,4,3
376,2,20,3.64,0,19,1,3,2
377,2,20,3.64,0,19,1,3,2
378,2,30,0.0,0,19,1,3,2
379,2,20,0.0,0,19,1,3,2
380,4,6,3.47,0,19,1,3,2
381,4,5,2.31,0,19,1,3,2
382,4,6,1.49,0,19,2,3,2
383,4,8,1.93,0,19,2,3,2
384,4,8,3.45,0,19,1,3,2
385,4,12,3.47,0,19,1,3,2
386,4,10,0.92,0,19,1,3,2
387,4,13,3.45,0,19,2,3,2
388,3,39,13.43,0,19,2,3,2
389,3,8,3.76,0,19,1,3,2
390,3,28,8.46,0,19,1,3,2
391,3,27,9.37,0,19,1,3,2
392,3,35,2.74,0,19,1,3,2
393,3,10,1.74,0,19,1,3,2
394,3,20,13.9,0,19,2,3,2
395,1,10,2.84,0,19,1,1,1
396,1,15,2.27,0,19,1,1,1
397,1,5,0.42,0,19,1,1,1
398,1,10,0.82,0,19,1,1,1
399,1,10,1.95,0,19,1,1,1
400,4,39,17.73,0,19,1,4,2
401,4,38,17.7,0,19,1,4,2
402,4,15,3.49,0,19,1,4,2
403,4,15,3.49,0,19,1,4,2
404,5,5,4.12,0,19,1,4,2
405,5,5,4.12,0,19,1,4,2
406,3,3,0.0,0,19,1,4,3
407,3,12,0.0,0,19,1,4,3
408,3,11,8.77,0,19,1,4,3
409,3,17,3.63,0,19,1,4,3
410,3,18,3.63,0,19,1,4,3
411,1,21,15.1,0,19,1,3,1
412,1,14,2.97,0,19,1,3,1
413,1,26,17.48,0,19,1,3,1
414,1,25,15.1,0,19,1,3,1
415,1,23,15.18,0,19,1,3,1
416,1,2,0.76,0,19,1,2,1
417,1,20,5.88,0,19,1,2,1
418,1,26,10.52,0,19,1,2,1
419,1,45,15.0,0,19,1,2,1
420,2,90,45.08,1,6,1,4,3
421,2,5,1.51,0,19,1,4,3
422,2,30,7.1,0,19,1,4,3
423,2,30,7.1,0,19,1,4,3
424,2,105,48.71,1,19,1,4,2
425,4,52,21.43,0,19,1,4,2
426,4,32,20.66,0,19,1,4,2
427,4,7,2.86,0,23,1,4,2
428,4,7,2.62,0,23,1,4,2
429,4,15,6.82,0,19,1,4,2
430,4,12,6.82,0,19,1,4,2
431,4,155,44.4,1,6,1,4,3
432,4,15,6.0,0,19,1,4,3
433,4,20,5.98,0,19,1,4,3
434,4,15,4.03,0,19,1,4,3
435,4,20,4.03,0,19,1,4,3
436,3,15,2.1,0,19,1,4,3
437,3,15,2.1,0,19,1,4,3
438,4,25,11.82,0,19,1,4,3
439,4,34,8.69,0,19,1,4,3
440,4,11,1.9,0,19,1,4,3
441,4,57,11.92,0,19,1,4,3
442,4,15,3.18,0,19,1,4,3
443,4,7,0.41,0,19,1,4,3
444,4,4,0.41,0,19,1,4,3
445,4,5,1.41,0,19,1,4,3
446,4,12,0.64,0,19,1,4,3
447,4,28,9.61,0,19,1,4,3
448,4,28,13.85,0,19,1,4,3
449,3,40,21.53,0,19,1,9,3
450,3,35,21.54,0,19,1,9,3
451,3,25,11.22,0,19,1,9,3
452,3,20,11.22,0,19,1,9,3
453,3,10,4.74,0,19,1,2,3
454,3,10,4.74,0,19,1,2,3
455,4,40,14.35,0,19,1,4,2
456,4,30,14.16,0,19,1,4,2
457,4,14,10.79,0,19,1,3,2
458,4,6,0.77,0,23,1,3,2
459,4,6,0.77,0,23,1,3,2
460,4,27,11.05,0,19,1,3,2
461,3,30,10.29,0,19,1,9,3
462,3,30,10.16,0,19,1,9,3
463,3,30,22.49,0,19,1,4,3
464,3,30,22.54,0,19,1,4,3
465,2,30,5.0,0,19,1,4,1
466,2,10,1.63,0,19,1,4,1
467,2,20,1.9,0,19,1,4,1
468,2,30,6.52,0,19,1,4,1
469,2,15,2.05,0,19,1,4,1
470,2,60,24.82,0,19,1,4,2
471,2,80,24.85,0,19,1,4,2
472,3,1,1.23,0,19,1,4,2
473,3,5,7.25,0,19,1,4,2
474,3,5,7.25,0,19,1,4,2
475,3,1,1.23,0,19,1,4,2
476,3,1,1.23,0,19,1,4,2
477,3,5,1.23,0,19,1,4,2
478,3,4,1.23,0,19,1,4,2
479,3,38,6.46,0,15,1,1,1
480,3,50,6.54,0,15,1,1,1
481,3,30,10.55,0,19,1,1,1
482,3,28,10.77,0,19,1,1,1
483,3,5,4.36,0,19,1,9,3
484,3,5,4.25,0,19,1,9,3
485,2,15,4.32,0,19,1,4,3
486,2,15,4.32,0,19,1,4,3
487,3,17,13.72,0,19,2,4,2
488,3,6,3.07,0,19,2,4,2
489,3,14,11.72,0,19,2,4,2
490,3,31,20.7,0,19,1,4,2
491,3,38,20.44,0,19,1,4,2
492,2,106,0.0,1,6,1,4,2
493,2,30,9.83,0,19,1,4,2
494,2,30,10.22,0,19,1,4,2
495,2,15,5.92,0,19,2,4,2
496,2,15,5.95,0,19,2,4,2
497,2,15,5.92,0,17,2,4,2
498,2,15,5.95,0,17,2,4,2
499,1,95,28.39,1,6,1,4,1
500,1,60,35.08,0,19,1,4,1
501,1,60,35.37,0,19,1,4,1
502,3,20,7.58,0,19,1,3,2
503,3,25,7.62,0,19,1,3,2
504,4,30,19.99,0,19,1,4,2
505,4,30,20.73,0,19,1,4,2
506,2,8,3.16,0,19,2,4,2
507,2,36,29.97,0,19,1,4,2
508,2,21,8.4,0,19,1,4,2
509,2,9,3.62,0,19,1,4,2
510,2,46,15.69,0,19,1,4,2
511,2,94,28.34,1,6,2,4,2
512,2,5,1.75,0,17,2,4,2
513,2,6,1.75,0,19,2,4,2
514,2,17,3.98,0,19,1,4,2
515,2,16,6.81,0,19,1,4,2
516,1,5,4.12,0,19,1,2,1
517,1,22,14.16,0,19,1,2,1
